Age,Age_Group,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,DistanceFromHome,Commute_Category,MonthlyIncome,Income_Band,PercentSalaryHike,Hike_Category,StockOptionLevel,JobSatisfaction,JobInvolvement,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,Experience_Band,YearsInCurrentRole,Role_Stability,YearsSinceLastPromotion,Promotion_Status,YearsWithCurrManager,Manager_Relationship,NumCompaniesWorked,Career_Mobility,TotalWorkingYears,TrainingTimesLastYear,OverTime,Attrition
41,Senior,Female,Single,College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,1,Nearby,5993,Mid Level,11,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Standard,Poor,Poor,Exceeds Expectations,6,Experienced,4,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),5,Stable (5-7 yrs),8,Frequent Mover (6+),8,0,Yes,Yes
49,Experienced,Male,Married,Below College,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,8,Moderate,5130,Mid Level,23,Excellent Hike (20+%),1,Content,Casually Engaged,Above Standard,Excellent,Good,Outstanding,10,Experienced,7,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),10,3,No,No
37,Senior,Male,Single,College,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,2,Nearby,2090,Entry Level,15,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Excellent,Fair,Good,Exceeds Expectations,0,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),6,Frequent Mover (6+),7,3,Yes,Yes
33,Mid Career,Female,Married,Master,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,3,Nearby,2909,Entry Level,11,Standard Hike (11-15%),0,Satisfied,Engaged,Excellent,Good,Good,Exceeds Expectations,8,Experienced,7,Stagnant Risk (5-7 yrs),3,Due for Review (2-3 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),8,3,Yes,No
27,Mid Career,Male,Married,Below College,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2,Nearby,3468,Mid Level,12,Standard Hike (11-15%),1,Content,Engaged,Below Standard,Excellent,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),9,Frequent Mover (6+),6,3,No,No
32,Mid Career,Male,Single,College,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,2,Nearby,3068,Mid Level,13,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Good,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),3,Due for Review (2-3 yrs),6,Stable (5-7 yrs),0,First Job,8,2,No,No
59,Veteran,Female,Married,Bachelor,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,3,Nearby,2670,Entry Level,20,Good Hike (16-20%),3,Dissatisfied,Highly Engaged,Above Standard,Poor,Fair,Outstanding,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),4,Experienced Mover (3-5),12,3,Yes,No
30,Mid Career,Male,Divorced,Below College,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,24,Far,2693,Entry Level,22,Excellent Hike (20+%),1,Satisfied,Engaged,Excellent,Fair,Good,Outstanding,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,2,No,No
38,Senior,Male,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Frequently,23,Far,9526,Senior Level,21,Excellent Hike (20+%),0,Satisfied,Casually Engaged,Excellent,Fair,Good,Outstanding,9,Experienced,7,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),0,First Job,10,2,No,No
36,Senior,Male,Married,Bachelor,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,27,Far,5237,Mid Level,13,Standard Hike (11-15%),2,Satisfied,Engaged,Above Standard,Fair,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),7,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),6,Frequent Mover (6+),17,3,No,No
35,Mid Career,Male,Married,Bachelor,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,16,Far,2426,Entry Level,13,Standard Hike (11-15%),1,Content,Highly Engaged,Below Standard,Good,Good,Exceeds Expectations,5,Established,4,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),0,First Job,6,5,No,No
29,Mid Career,Female,Single,College,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,15,Moderate,4193,Mid Level,12,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Excellent,Excellent,Good,Exceeds Expectations,9,Experienced,5,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),0,First Job,10,3,Yes,No
31,Mid Career,Male,Divorced,Below College,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,26,Far,2911,Entry Level,17,Good Hike (16-20%),1,Satisfied,Engaged,Below Standard,Excellent,Fair,Exceeds Expectations,5,Established,2,Established (2-4 yrs),4,Overdue (4-6 yrs),3,Building Trust (2-4 yrs),1,Early Career Mover (1-2),5,1,No,No
34,Mid Career,Male,Divorced,College,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,19,Far,2661,Entry Level,11,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Standard,Good,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),0,First Job,3,2,No,No
28,Mid Career,Male,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,24,Far,2028,Entry Level,14,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Above Standard,Fair,Good,Exceeds Expectations,4,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),5,Experienced Mover (3-5),6,4,Yes,Yes
29,Mid Career,Female,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,21,Far,9980,Senior Level,11,Standard Hike (11-15%),1,Dissatisfied,Highly Engaged,Standard,Good,Good,Exceeds Expectations,10,Experienced,9,Critical Risk (8+ yrs),8,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),10,1,No,No
32,Mid Career,Male,Divorced,College,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,5,Nearby,3298,Mid Level,12,Standard Hike (11-15%),2,Content,Highly Engaged,Below Standard,Excellent,Fair,Exceeds Expectations,6,Experienced,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),5,Stable (5-7 yrs),0,First Job,7,5,Yes,No
22,Early Career,Male,Divorced,College,Medical,Research & Development,Laboratory Technician,1,Non-Travel,16,Far,2935,Entry Level,13,Standard Hike (11-15%),2,Highly Satisfied,Highly Engaged,Excellent,Fair,Fair,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,2,Yes,No
53,Experienced,Female,Married,Master,Life Sciences,Sales,Manager,4,Travel_Rarely,2,Nearby,15427,Executive Level,16,Good Hike (16-20%),0,Highly Satisfied,Casually Engaged,Below Standard,Good,Good,Exceeds Expectations,25,Veteran,8,Critical Risk (8+ yrs),3,Due for Review (2-3 yrs),7,Stable (5-7 yrs),2,Early Career Mover (1-2),31,3,No,No
